Pollutant name;CAS Registry Number;Lower (€/kg);Median (€/kg);Upper (€/kg)
Benzo[a]pyrene;000050-32-8;3,859;5,704;8,59
Benzophenone;000119-61-9;0;0.123;0.159
Benzotrichloride;000098-07-7;1,523;2,252;3,391
Benzyl butyl phthalate;000085-68-7;0.0434;0.588;0.881
Benzyl chloride;000100-44-7;7.36;10.9;16.4
Beryllium;007440-41-7;31,345;46,38;69,972
Beta-endosulfan;033213-65-9;5.13;7.27;9.43
Beta-hexachlorocyclohexane;000319-85-7;34.2;51.3;77.1
Binapacryl;000485-31-4;0.288;0.409;0.53
Bis(2-ethylhexyl)phthalate;000117-81-7;1.82;5.89;8.87
Bis(chloromethyl)ether;000542-88-1;97,38;143,955;216,787
Bis(pentabromophenyl)ether;001163-19-5;28.3;44.2;66.7
Bisphenol A;000080-05-7;0.56;0.825;1.23
Brodifacoum;056073-10-0;0.00834;0.0119;0.0158
Butane;000106-97-8;0.22;0.285;0.43
Butanon-oxime;000096-29-7;0;5.67;8.54
Butylparaben;000094-26-8;0;0;0
C.I. Basic Violet 3 [containing 0.1 per cent or;000548-62-9;0;494;655
more Michler’s ketone (EC No 202-027-5)];;;;
Cadmium;007440-43-9;105,034;155,294;233,924
Captafol;002425-06-1;11.5;16.7;23.8
Carbendazim;010605-21-7;6.25;8.95;12.1
Carbetamide;016118-49-3;0.841;1.19;1.54
Catechol;000120-80-9;5.05;7.52;11.3
Quinoline;000091-22-5;0.00787;251;378
Chlordecone;000143-50-0;8,829;13,052;19,654
Chlorodimethyl ether;000107-30-2;45.6;67.4;101
Chlorfenvinphos;000470-90-6;85;125;183
Chloromethyl mercury;000115-09-3;0;658;991
Chlorotriethyl lead;001067-14-7;5.43;7.7;9.96
Chloroprene;000126-99-8;30.7;45.4;68.3
Chromium (VI);018540-29-9;1,815;2,703;4,121
Chrysotile;012001-29-5;0;0.00426;0.0252
Cumatetralyl;005836-29-3;0.0142;0.0201;0.026
Cumene;000098-82-8;0.235;0.306;0.462
Cyclododecane;000294-62-2;0;0.00000247;0.0000032
Cycloheximide;000066-81-9;0;58.5;75.7
Cyhexatin;013121-70-5;7.92;11.7;17.4
DDT, 2,4'-isomer;000789-02-6;0;2.64;3.42
DDT, 4,4'-isomer;000050-29-3;684;1,013;1,53
Delta-hexachlorocyclohexane;000319-86-8;1.2;1.7;2.21
Dibenzo[a,h]anthracene;000053-70-3;331;489;736
Dibromo-nitrilopropiamide;010222-01-2;0;33.4;43.2
Dibutyl phthalate;000084-74-2;0.0814;0.117;0.16
Dibutyltin di(acetate);001067-33-0;0;0.102;0.133
Dibutyltin dichloride;000683-18-1;0.0153;0.0217;0.0281
Dibutyl tindilaurate;000077-58-7;0;0.00205;0.00266
Dibutyltinoxide;000818-08-6;0;0.00000442;0.00000572
Dicofol;000115-32-2;142;578;870
Dieldrin;000060-57-1;368;4,473;6,735
Di-ethylenetriamine pentaacetic acid;000067-43-6;0;0.236;0.306
Diphenacoum;056073-07-5;0;0.00111;0.00144
Diphenylchlororesin;000712-48-1;0;1.31;1.69
Dihexyl phthalate;000084-75-3;0;0.00186;0.0024
Diisobutyl phthalate;000084-69-5;0;0.00454;0.00588
Dimethomorph;110488-70-5;0;1.01;1.3
Dimethylcarbamoyl chloride;000079-44-7;137;203;305
Dimethyl sulphate;000077-78-1;0;0.00642;0.00832
Dimethyltin dichloride;000753-73-1;9.13;13;16.8
Disodium-{5-[(4’-((2,6-dihydroxy-3-((2-hydroxy-5-;016071-86-6;0;3,961;5,964
sulfophenyl)azo)phenyl)azo)(1,1’-biphenyl)-4- yl)azo]sa;;;;
Disodium 3,3'-[[1,1'-biphenyl]-4,4'-diyl bis(azo)]bis(4-aminonaphthalene-1-sulphonate);000573-58-0;0;0;0
Dinatrium-4-amino-3-[[4'-[(2,4- diaminofenyl)azo][1,1'-bifenyl]-4-yl]azo]-6- (fenylazo)-5-hydroxynaftal;001937-37-7;0;5107;7,69
Dinitrotoluene;025321-14-6;0;67.3;101
Dinocap;039300-45-3;3.76;5.54;8.24
Dinoseb;000088-85-7;14.1;20.6;29.5
Dinoterb;001420-07-1;6.04;8.56;11.1
Dioxane;000123-91-1;1.76;2.61;3.93
Diuron;000330-54-1;17.4;25;33.7
E-2-butenal;000123-73-9;0;38.6;58.1
Endosulfan;000115-29-7;3;4.39;6.41
Endrin;000072-20-8;46.5;68.3;100
Epichlorohydrin;000106-89-8;13.6;20;30.2
Ethanal;000075-07-0;1.77;2.5;3.83
Ethenyl ester of neodecanoic acid;051000-52-3;0;0;0
Ethyl-1-(2,4-dichlorophenyl)-5-(trichloromethyl)- 1H-1,2,4-triazole-3-carboxylate;103112-35-2;19.3;27.4;35.6
Ethylenediamine;000107-15-3;0.302;0.428;0.554
Ethylene oxide;000075-21-8;11.4;16.9;25.5
Ethylenethiourea;000096-45-7;4.97;154;232
Ethyl-p-nitrophenylthiobenzene-phosphenate;002104-64-5;174;258;388
Phenanthrene;000085-01-8;0.0351;0.0498;0.0645
Fenantridine;000229-87-8;0;3.3;4.27
Fenbutatin;013356-08-6;316;465;688
Phenolphthalein;000077-09-8;2.58;3.81;5.74
Fentin hydroxide;000076-87-9;59;84.6;114
Phenylarsenic acid;000098-05-5;0;0.0543;0.0703
Phenylhydrazine;000100-63-0;0;0.1;0.13
Phenylhydrazine chloride;000059-88-1;0;31.7;47.7
Phenylmercury acetate;000062-38-4;2,122;3,117;4,594
Fluazifop-butyl;069806-50-4;0.3;0.425;0.551
Flucythrinate;070124-77-5;398;564;732
Fluoranthene;000206-44-0;0.217;0.309;0.411
Fluorene;000086-73-7;0.0344;0.0507;0.076
Flurochloridone;061213-25-0;2.92;4.14;5.37
Formaldehyde;000050-00-0;0.474;0.642;0.965
Formamide;000075-12-7;0;0;0
Furan;000110-00-9;258;382;575
Gamma hexachlorocyclohexane;000058-89-9;106;157;235
Glufosinate ammonium;077182-82-2;2.62;3.85;5.72
Glutaaraldehyde;000111-30-8;0;0;0
Glycidol;000556-52-5;118;175;264
Heptachloride;000076-44-8;117;172;260
Heptachlor epoxide;001024-57-3;4,613;6,828;10,311
Heptachloronorbornene;028680-45-7;0;0.00387;0.00501
Hexachlorobenzene;000118-74-1;258;382;576
Hexachlorobutadiene;000087-68-3;0.0247;34;51.2
Hexachlorocyclohexane;000608-73-1;79.7;118;176
Hexachlorocyclopentadiene;000077-47-4;143;212;319
Hexadecafluorheptane;000335-57-9;434;1,129;1,389
Hexahydrophthalic acid anhydride;000085-42-7;0;0;0
Hexamethylphosphoramide;000680-31-9;3,302;4,881;7,35
Hydrazine;000302-01-2;696;1,027;1,534
Hydrazobenzene;000122-66-7;0;17.7;26.6
Imidazole;000288-32-4;0;0;0
Isobutane;000075-28-5;0.198;0.257;0.387
Isobutyl nitrite;000542-56-3;0;6.94;10.5
Isodrin;000465-73-6;0;0.652;0.844
Isoprene;000078-79-5;1.15;1.56;2.35
Isoquinoline;000119-65-3;0.0158;0.0224;0.029
Cacodylic acid;000075-60-5;73.6;109;164
Cobalt;007440-48-4;11.8;23.2;50.1
Mercury;007439-97-6;9,983;14,951;23,019
Linuron;000330-55-2;35;51.7;77.6
Lead;007439-92-1;18,455;27,287;41,106
Lead styphnate;015245-44-0;0;0.00115;0.00149
Mancozeb;008018-01-7;22.7;32.3;42.5
M-bis(2,3-epoxypropoxy)benzene;000101-90-6;11.5;17;25.6
Methoxy chloride;000072-43-5;0.845;1.21;1.61
Methyl hydrazine;000060-34-4;2.01;38;56.9
Mirex;002385-85-5;1,032;1,546;2,404
Musk xylene;000081-15-2;0;48;72.2
N-(1,3-dimethylbutyl)-N'-phenyl-1,4- benzenediamine;000793-24-8;0;0;0
N,N,N',N'-tetramethyl-4,4’-methylenedianiline;000101-61-1;0;5.72;8.61
N,N-dimethylacetamide;000127-19-5;0;0;0
N,N-dimethylformamide;000068-12-2;1.17;1.74;2.62
N,N-dimethylhydrazine;000057-14-7;99.6;147;221
Naphthalene;000091-20-3;0.527;10.4;15.6
Sodium cacodylate;000124-65-2;0.566;0.803;1.04
Sodium pentachlorophenolate;000131-52-2;1.72;2.45;3.18
N-butyltin trichloride;001118-46-3;0.365;0.518;0.67
Nickel;007440-02-0;67.6;126;257
Nitrobenzene;000098-95-3;15.1;22.3;33.6
Nitrophene;001836-75-5;13;19.1;28.8
Nitrosodipropylamine;000621-64-7;731;1,081;1,628
N-methyl-2-pyrrolidon;000872-50-4;0;0.532;0.801
N-methylolacrylamide;000924-42-5;0;83.5;126
N-nitrosodimethylamine;000062-75-9;3,178;4,699;7,076
Nonylphenol;025154-52-3;0.0017;0.00241;0.00312
O-aminoazotoluene;000097-56-3;127;188;283
O-anisidine;000090-04-0;0;0.0515;0.0667
Octachlorinated naphthalene;002234-13-1;0;0;0
Octamethyltetrasiloxane;000556-67-2;0;0.0195;0.0252
O-toluidine;000095-53-4;0.00105;0.00149;0.00193
P-(1,1-dimethylpropyl)phenol;000080-46-6;0;0.0552;0.0715
Para-tert-octylphenol;000140-66-9;0.0109;0.0154;0.02
PCB 101;037680-73-2;0;1.58;2.05
PCB 77;032598-13-3;0;1.16;1.5
Pentachloranisole;001825-21-4;0;27.6;41.5
Pentachlorobenzene;000608-93-5;5.98;8.87;13.5
Pentachloroethane;000076-01-7;0.00277;44.2;66.6
Pentachlorophenol;000087-86-5;15;22.1;32.3
Pentasodium diethylene-triaminepentaacetic acid;000140-01-2;0;0.0628;0.0813
P-nonylphenol;000104-40-5;0.00183;0.0026;0.00336
Polychlorinated biphenyls;001336-36-3;0;467;704
Propiconazole;060207-90-1;3.1;4.54;6.63
Propylene oxide;000075-56-9;6.91;10.2;15.4
Pyrene;000129-00-0;0.338;0.48;0.625
Pyrithione zinc;013463-41-7;0;0;0
Roxarsone;000121-19-7;0;0;0
Sulphallate;000095-06-7;2.23;3.3;4.97
Tellurium;013494-80-9;0;0.261;1.55
Terphenyl;026140-60-3;0;0;0
Tetrabromobisphenol A;000079-94-7;0.178;0.254;0.335
Tetrabutyltin;001461-25-2;0.00000194;0.00000275;0.00000356
Tetraethyl lead;000078-00-2;3,32;4,908;7,391
Tetrafluoroethylene;000116-14-3;13.1;19.3;29.1
Tetrahydro-2-furylmethanol;000097-99-4;0;0.00604;0.00782
Tetramethyl lead;000075-74-1;0.0000324;0.0000459;0.0000594
Tetrasodium-3,3'-[[1,1'-biphenyl]-4,4'- diylbis(azo)]bis[5-amino-4-hydroxynaphthalene- 2,7-disulfonate];002602-46-2;0;9,514;14,327
Tetrasul;002227-13-6;0;0.00176;0.00228
Theophylline;000058-55-9;0;0;0
Thioacetamide;000062-55-5;59.1;87.8;132
Thiomersal;000054-64-8;1.99;2.83;3.66
Toxaphene;008001-35-2;2,269;3,379;5,176
Triadimenol;055219-65-3;4.63;6.77;9.8
Tributyltin;000688-73-3;0.00019;0.00027;0.000349
Tributyltin oxide;000056-35-9;0.73;1.08;1.62
Trichlorobenzene;012002-48-1;0;0.00338;0.00437
Trichloroethylene;000079-01-6;0.61;0.864;1.3
Tridemorph;024602-86-6;0;3.92;5.08
Triphenyltin acetate;000900-95-8;55.1;81.3;122
Triphenyltin chloride;000639-58-7;22.7;33.6;50.3
Triflumizole;068694-11-1;20.7;29.3;38
Trifluraline;001582-09-8;0.489;1.93;2.91
Tris(2,3-dibromopropyl)phosphate;000126-72-7;33.9;50.1;75.4
Tris(2-chloroethyl)phosphate;000115-96-8;0.0016;2.49;3.74
Triton X-100;009002-93-1;0.000000175;0.000000249;0.000000322
Trixylyl phosphate;025155-23-1;0;0.0256;0.0332
Urethane;000051-79-6;37;54.7;82.3
Vinchlozolin;050471-44-8;3.33;4.92;7.35
Vinyl bromide;000593-60-2;12.4;18.4;27.7
Vinyl chloride;000075-01-4;36.4;53.8;81
Warfarin;000081-81-2;114;169;254
1,2-Dichloropropane;000078-87-5;7.67;12.7;19.2
4-Chloroaniline;000106-47-8;6;0.189;0.253
Aclonifen;074070-46-5;2.13;3.02;3.91
Alachlor;015972-60-8;1.44;2.04;2.64
Aldrin;000060-57-1;5,646;68,74;103,505
Anthracene;000120-12-7;5.35;7.59;9.84
Antimony;007440-36-0;6.37;23.5;86
Arsenic (and inorganic compounds thereof);007440-38-2;171;2,411;11,361
Atrazine;001912-24-9;2.97;10.4;14.8
Azinphos-ethyl;002642-71-9;151;214;277
Azinphos-methyl;000086-50-0;55.9;79.5;104
Barium;007440-39-3;2.07;6.02;19.7
Bentazon;025057-89-0;0.141;0.209;0.311
Benz(a)anthracene;000056-55-3;0;33.9;43.9
Benzene;000071-43-2;0.971;1.44;2.16
Benzo(a)pyrene;000050-32-8;100;148;223
Benzyl chloride (alpha-chlorotoluene);000100-44-7;1.26;1.86;2.8
Beryllium;007440-41-7;0.977;2.7;9.34
Bifenox;042576-02-3;1.08;1.54;1.99
Borium;007440-42-8;0;0.00161;0.00956
Cadmium and cadmium compounds;007440-43-9;3.06;31.5;144
Captan;000133-06-2;5.47;8.71;11.6
Carbendazim;010605-21-7;0.771;1.1;1.45
Chlorpropham;000101-21-3;1.09;1.59;2.29
Chlorotoluron;015545-48-9;0.277;0.394;0.51
Chlorpyrifos;002921-88-2;358;515;709
Chlorfenvinphos;000470-90-6;341;504;756
Chromium;007440-47-3;0.031;0.0477;0.0734
Cybutryne;028159-98-0;0;2,141;2,772
Cyclodiene and pesticides:;000309-00-2;1,544;14,168;21,334
Cypermethrin;052315-07-8;957;1,36;1,77
Deltamethrin;052918-63-5;97.8;139;180
Di(2-ethylhexyl)phthalate (DEHP);000117-81-7;1.13;3.61;5.42
Diazinon;000333-41-5;35.1;51.5;75.6
Dichloromethane;000075-09-2;0.849;1.25;1.89
Dichlorvos;000062-73-7;38.4;56.5;84.2
Dicofol;000115-32-2;1,539;6,305;9,493
Dieldrin(7);000072-20-8;2,065;3,045;4,549
Dimethoate;000060-51-5;0.941;1.36;1.87
Diuron;000330-54-1;3.89;5.55;7.38
Endosulfan;000115-29-7;25.7;36.8;49.7
Endrin(7);000465-73-6;0;59.1;76.5
Esfenvalerate;066230-04-4;1,241;1,76;2,28
Ethylbenzene;000100-41-4;0.27;0.398;0.597
Fenamiphos;022224-92-6;29.5;42;55.2
Phenanthrene;000085-01-8;0.875;1.24;1.61
Fenitrothion;000122-14-5;14.6;21.2;29.5
Phenoxycarb;072490-01-8;1.43;2.03;2.63
Fenthion;000055-38-9;49.1;71.7;103
Fluoranthene;000206-44-0;10.3;14.6;19.2
Heptachloride;000076-44-8;8,105;11,98;18,04
Heptachlor epoxide;001024-57-3;286,217;423,113;637,187
Heptenophos;023560-59-0;3.25;4.6;5.97
Hexachlorobenzene;000118-74-1;3,164;4,678;7,046
Hexachlorobutadiene;000087-68-3;0.227;103;155
Hexachlorocyclohexane;000608-73-1;225;332;498
Something with xylene;000108-38-3;0.0073;0.0103;0.0134
Something with xylene;000106-42-3;0.00773;0.011;0.0142
Imidacloprid;138261-41-3;0.267;0.386;0.541
Isoproturon;034123-59-6;1.18;1.67;2.17
Cobalt;007440-48-4;0.0867;0.225;0.747
Copper;007440-50-8;2.21;3.46;5.56
Mercury and mercury compounds;007439-97-6;9.1;1,346;6,802
Lambda-cyhalothrine;091465-08-6;734;1,045;1,364
Linuron;000330-55-2;7.13;10.2;13.8
Lead and lead compounds;007439-92-1;0.626;9.02;42.6
Malathion;000121-75-5;2.35;3.34;4.33
MCPA;000094-74-6;1.03;1.53;2.29
Mecoprop-P;016484-77-8;0;0.0275;0.0356
Metazachlor;067129-08-2;0.32;0.454;0.588
Methabenzthiazuron;018691-97-9;0.24;0.341;0.442
Metolachlor;051218-45-2;2.37;3.37;4.41
Metsulfuron-methyl;074223-64-6;75.8;107;139
Mevinphos;007786-34-7;19.4;27.9;38.3
Molybdenum;007439-98-7;1.27;3.51;11.5
Monolinuron;001746-81-2;0.254;0.361;0.467
Naphthalene;000091-20-3;0.0844;3.73;5.6
Nickel and nickel compounds;007440-02-0;9.86;37.7;140
Nonylphenols;084852-15-3;3.29;4.67;6.05
Octamethylcyclotetrasiloxane;000556-67-2;0;22.7;29.4
Omethoate;001113-02-6;4.32;6.38;9.59
para-para-DDT;000050-29-3;3,237;4,799;7,278
Parathion;000056-38-2;31.5;45.3;61.5
Parathion-methyl;000298-00-0;16;23.6;35
Pentachlorobenzene;000608-93-5;24.1;35.6;53.7
Pentachlorophenol;000087-86-5;120;177;265
Pirimicarb;023103-98-2;0.255;0.373;0.541
Pirimiphos-methyl;029232-93-7;21;30.4;42.2
Propoxur;000114-26-1;2.9;4.16;5.63
Pyrazon (Chloridazon);001698-60-8;0.066;0.0936;0.121
Pyridaben;096489-71-3;166;235;304
Pyriproxyfen;095737-68-1;42.3;60;78.1
Selenium;007782-49-2;0.215;0.513;1.59
Simazine;000122-34-9;2.46;3.59;5.14
Teflubenzuron;083121-18-0;45.8;118;167
Tellurium;013494-80-9;0;0.261;1.55
Terbutryn;000886-50-0;77.6;114;170
Terbuthylazine;005915-41-3;0.987;1.4;1.81
Tetrachloroethylene(7);000127-18-4;3.65;5.4;8.13
Carbon tetrachloride;000056-23-5;698;1,062;1,706
Thallium;007440-28-0;7.32;149;733
Tin;007440-31-5;0.065;0.17;0.567
Titanium;007440-32-6;0;0.0123;0.0726
Tolclofos-methyl;057018-04-9;1.02;1.51;2.24
Triazophos;024017-47-8;139;206;308
Tributyl phosphate;000126-73-8;0.0321;0.65;0.97
Trichlorobenzene;012002-48-1;0;0.0496;0.0642
Trichloroethylene;000079-01-6;0.103;0.152;0.228
Trichlorfon;000052-68-6;3.57;5.11;6.9
Trichloromethane (chloroform);000067-66-3;2.94;4.35;6.55
Trifluraline (19);001582-09-8;6.65;25;37.4
Uranium;007440-61-1;0.000242;0.000404;0.000242
Vanadium;007440-62-2;4.07;18.2;70.5
Xylenes;000095-47-6;0.00779;0.0111;0.0143
Silver;007440-22-4;9.75;29.9;101
Zinc;007440-66-6;4.44;178;882
1,2-Dichloropropane;000078-87-5;3.42;5.67;8.55
4-Chloroaniline;000106-47-8;0.00313;0.00444;0.00577
Aclonifen;074070-46-5;0.0521;0.0738;0.0956
Alachlor;015972-60-8;0.0339;0.0481;0.0622
Aldrin;000060-57-1;194;2,345;3,532
Anthracene;000120-12-7;0.701;0.993;1.28
Antimony;007440-36-0;0.033;1.14;5.61
Arsenic (and inorganic compounds thereof);007440-38-2;0.061;188;958
Atrazine;001912-24-9;0.0637;0.101;0.133
Azinphos-ethyl;002642-71-9;3.13;4.43;5.72
Azinphos-methyl;000086-50-0;1.07;1.52;1.97
Barium;007440-39-3;0.00433;0.161;0.792
Bentazon;025057-89-0;0.00052;0.000756;0.00108
Benz(a)anthracene;000056-55-3;0;5.44;7.04
Benzene;000071-43-2;0.433;0.64;0.964
Benzo(a)pyrene;000050-32-8;7.7;11.4;17
Benzyl chloride (alpha-chlorotoluene);000100-44-7;0.228;0.336;0.506
Beryllium;007440-41-7;0.333;1.9;8.55
Bifenox;042576-02-3;0.0335;0.0475;0.0615
Borium;007440-42-8;0;0.00161;0.00956
Cadmium and cadmium compounds;007440-43-9;0.119;8.96;44.8
Captan;000133-06-2;0.121;0.176;0.228
Carbendazim;010605-21-7;0.0138;0.0195;0.0252
Chlorpropham;000101-21-3;0.0114;0.0164;0.0222
Chlorotoluron;015545-48-9;0.00559;0.00792;0.0102
Chlorpyrifos;002921-88-2;15.8;22.6;30.1
Chlorfenvinphos;000470-90-6;1.69;2.49;3.68
Chromium;007440-47-3;0.0174;0.0455;0.123
Cybutryne;028159-98-0;0;58.1;75.2
Cyclodiene and pesticides:;000309-00-2;64.6;589;888
Cypermethrin;052315-07-8;122;174;230
Deltamethrin;052918-63-5;8.96;12.7;16.5
Di(2-ethylhexyl)phthalate (DEHP);000117-81-7;0.0129;0.04;0.06
Diazinon;000333-41-5;0.24;0.346;0.48
Dichloromethane;000075-09-2;0.398;0.588;0.886
Dichlorvos;000062-73-7;0.291;0.426;0.618
Dicofol;000115-32-2;14.5;59.3;89.6
Dieldrin(7);000072-20-8;60.6;89;131
Dimethoate;000060-51-5;0.00933;0.0132;0.0172
Diuron;000330-54-1;0.0681;0.0965;0.125
Endosulfan;000115-29-7;4.11;5.86;7.73
Endrin(7);000465-73-6;0;11.2;14.5
Esfenvalerate;066230-04-4;33.8;48;62.1
Ethylbenzene;000100-41-4;0.0774;0.114;0.172
Fenamiphos;022224-92-6;0.802;1.14;1.47
Phenanthrene;000085-01-8;0.113;0.16;0.207
Fenitrothion;000122-14-5;0.216;0.307;0.406
Phenoxycarb;072490-01-8;0.0301;0.0427;0.0551
Fenthion;000055-38-9;0.552;0.793;1.08
Fluoranthene;000206-44-0;0.893;1.27;1.65
Heptachloride;000076-44-8;356;527;794
Heptachlor epoxide;001024-57-3;9,205;13,64;20,656
Heptenophos;023560-59-0;0.0687;0.0973;0.126
Hexachlorobenzene;000118-74-1;268;396;598
Hexachlorobutadiene;000087-68-3;0.0634;24.1;36.3
Hexachlorocyclohexane;000608-73-1;10.1;14.8;22.2
Something with xylene;000108-38-3;0.000664;0.000943;0.00122
Something with xylene;000106-42-3;0.000705;0.001;0.0013
Imidacloprid;138261-41-3;0.00325;0.00461;0.00598
